"entity_id","rapm","rapm_loess","rapm_blended","rapm_error","model_date","circuit","season","round","overall_round","dev_ratio"
"karthikeyan-d",0.105073197864187,0,0.099819537970978,NA,2012-03-25,"sepang",2012,2,870,NA
"kovalainen-d",0.192264035776803,0,0.182650833987963,NA,2012-03-25,"sepang",2012,2,870,NA
"massa-d",0.225519552440576,0,0.214243574818547,NA,2012-03-25,"sepang",2012,2,870,NA
"michael_schumacher-d",0.0719327262342609,0,0.0683360899225479,NA,2012-03-25,"sepang",2012,2,870,NA
"petrov-d",0.209396083581583,0,0.198926279402504,NA,2012-03-25,"sepang",2012,2,870,NA
"rosa-d",0.0569734969502431,0,0.0541248221027309,NA,2012-03-25,"sepang",2012,2,870,NA
"grosjean-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"maldonado-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"ambrosio-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"bottas-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"chilton-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"garde-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"gutierrez-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"jules_bianchi-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"sutil-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"kevin_magnussen-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"kvyat-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"ericsson-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"stevens-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"nasr-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"sainz-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"max_verstappen-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"merhi-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"rossi-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"jolyon_palmer-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"wehrlein-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"haryanto-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"vandoorne-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"ocon-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"giovinazzi-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"stroll-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"gasly-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"brendon_hartley-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"leclerc-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"sirotkin-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"albon-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"kubica-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"norris-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"russell-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"latifi-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"aitken-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"pietro_fittipaldi-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"mick_schumacher-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"tsunoda-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"mazepin-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"zhou-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"de_vries-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"sargeant-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"piastri-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"lawson-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"bearman-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"colapinto-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"doohan-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"antonelli-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"bortoleto-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"hadjar-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"arvid_lindblad-d",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"ferrari-c",-0.207065997660572,0,-0.196712697777543,NA,2012-03-25,"sepang",2012,2,870,NA
"mclaren-c",-0.311981989653945,0,-0.296382890171247,NA,2012-03-25,"sepang",2012,2,870,NA
"manor-c",0.409904450217611,0,0.389409227706731,NA,2012-03-25,"sepang",2012,2,870,NA
"sauber-c",-0.350527648633149,0,-0.333001266201491,NA,2012-03-25,"sepang",2012,2,870,NA
"alpine-c",-0.185473992023476,0,-0.176200292422302,NA,2012-03-25,"sepang",2012,2,870,NA
"aston_martin-c",0.00479638844184588,0,0.00455656901975358,NA,2012-03-25,"sepang",2012,2,870,NA
"toro_rosso-c",0.183861112439846,0,0.174668056817854,NA,2012-03-25,"sepang",2012,2,870,NA
"mercedes-c",0.298556823289749,0,0.283628982125261,NA,2012-03-25,"sepang",2012,2,870,NA
"red_bull-c",-0.290876172394329,0,-0.276332363774613,NA,2012-03-25,"sepang",2012,2,870,NA
"williams-c",-0.115190578264252,0,-0.109431049351039,NA,2012-03-25,"sepang",2012,2,870,NA
"hrt-c",0.162127163501042,0,0.15402080532599,NA,2012-03-25,"sepang",2012,2,870,NA
"caterham-c",0.401859576897525,0,0.381766598052649,NA,2012-03-25,"sepang",2012,2,870,NA
"haas-c",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"NA-c",0,0,0,NA,2012-03-25,"sepang",2012,2,870,NA
"alonso-d",-0.197725043663933,0,-0.182895665389138,NA,2012-04-15,"shanghai",2012,3,872,NA
"button-d",-0.145462319551278,0,-0.134552645584932,NA,2012-04-15,"shanghai",2012,3,872,NA
"glock-d",0.187496839842974,0,0.173434576854751,NA,2012-04-15,"shanghai",2012,3,872,NA
"hamilton-d",-0.299993890013074,0,-0.277494348262094,NA,2012-04-15,"shanghai",2012,3,872,NA
"kobayashi-d",0.00650904391698956,0,0.00602086562321534,NA,2012-04-15,"shanghai",2012,3,872,NA
"perez-d",-0.0985959741066142,0,-0.0912012760486181,NA,2012-04-15,"shanghai",2012,3,872,NA
"pic-d",0.146759065298469,0,0.135752135401084,NA,2012-04-15,"shanghai",2012,3,872,NA
"raikkonen-d",-0.0028880869413451,0,-0.00267148042074422,NA,2012-04-15,"shanghai",2012,3,872,NA
"resta-d",0.0335446380034193,0,0.0310287901531628,NA,2012-04-15,"shanghai",2012,3,872,NA
"ricciardo-d",0.154559033102513,0,0.142967105619825,NA,2012-04-15,"shanghai",2012,3,872,NA
"rosberg-d",-0.103161650722991,0,-0.0954245269187665,NA,2012-04-15,"shanghai",2012,3,872,NA
"vergne-d",0.0926179866544793,0,0.0856716376553934,NA,2012-04-15,"shanghai",2012,3,872,NA
"vettel-d",-0.0972354014410231,0,-0.0899427463329464,NA,2012-04-15,"shanghai",2012,3,872,NA
"webber-d",-0.249622007638113,0,-0.230900357065254,NA,2012-04-15,"shanghai",2012,3,872,NA
"bruno_senna-d",-0.101180239222616,0,-0.0935917212809196,NA,2012-04-15,"shanghai",2012,3,872,NA
"hulkenberg-d",0.10023044571945,0,0.0927131622904915,NA,2012-04-15,"shanghai",2012,3,872,NA
"karthikeyan-d",0.0906243627562888,0,0.0838275355495671,NA,2012-04-15,"shanghai",2012,3,872,NA
"kovalainen-d",0.103204642287939,0,0.0954642941163439,NA,2012-04-15,"shanghai",2012,3,872,NA
"massa-d",0.169022530553566,0,0.156345840762049,NA,2012-04-15,"shanghai",2012,3,872,NA
"michael_schumacher-d",0.0281495990432054,0,0.026038379114965,NA,2012-04-15,"shanghai",2012,3,872,NA
"petrov-d",0.181391642002527,0,0.167787268852338,NA,2012-04-15,"shanghai",2012,3,872,NA
"rosa-d",0.0902444871206446,0,0.0834761505865963,NA,2012-04-15,"shanghai",2012,3,872,NA
"grosjean-d",-0.0706334964640653,0,-0.0653359842292604,NA,2012-04-15,"shanghai",2012,3,872,NA
"maldonado-d",-0.0178567417856874,0,-0.0165174861517609,NA,2012-04-15,"shanghai",2012,3,872,NA
"ambrosio-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"bottas-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"chilton-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"garde-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"gutierrez-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"jules_bianchi-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"sutil-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"kevin_magnussen-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"kvyat-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"ericsson-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"stevens-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"nasr-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"sainz-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"max_verstappen-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"merhi-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"rossi-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"jolyon_palmer-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"wehrlein-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"haryanto-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"vandoorne-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"ocon-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"giovinazzi-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"stroll-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"gasly-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"brendon_hartley-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"leclerc-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"sirotkin-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"albon-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"kubica-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"norris-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"russell-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"latifi-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"aitken-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"pietro_fittipaldi-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"mick_schumacher-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"tsunoda-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"mazepin-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"zhou-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"de_vries-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"sargeant-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"piastri-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"lawson-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"bearman-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"colapinto-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"doohan-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"antonelli-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"bortoleto-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"hadjar-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"arvid_lindblad-d",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"ferrari-c",-0.0289834068334015,0,-0.0268096513208964,NA,2012-04-15,"shanghai",2012,3,872,NA
"mclaren-c",-0.449816793469095,0,-0.416080533958913,NA,2012-04-15,"shanghai",2012,3,872,NA
"manor-c",0.337528088547895,0,0.312213481906803,NA,2012-04-15,"shanghai",2012,3,872,NA
"sauber-c",-0.0929882893688102,0,-0.0860141676661494,NA,2012-04-15,"shanghai",2012,3,872,NA
"alpine-c",-0.0742412487039292,0,-0.0686731550511345,NA,2012-04-15,"shanghai",2012,3,872,NA
"aston_martin-c",0.135084713496445,0,0.124953359984211,NA,2012-04-15,"shanghai",2012,3,872,NA
"toro_rosso-c",0.24959679120685,0,0.230877031866336,NA,2012-04-15,"shanghai",2012,3,872,NA
"mercedes-c",-0.0757463240726033,0,-0.070065349767158,NA,2012-04-15,"shanghai",2012,3,872,NA
"red_bull-c",-0.350252885384661,0,-0.323983918980812,NA,2012-04-15,"shanghai",2012,3,872,NA
"williams-c",-0.12020227197013,0,-0.11118710157237,NA,2012-04-15,"shanghai",2012,3,872,NA
"hrt-c",0.182639433452418,0,0.168941475943486,NA,2012-04-15,"shanghai",2012,3,872,NA
"caterham-c",0.28738228919056,0,0.265828617501268,NA,2012-04-15,"shanghai",2012,3,872,NA
"haas-c",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"NA-c",0,0,0,NA,2012-04-15,"shanghai",2012,3,872,NA
"alonso-d",-0.160875109984218,0,-0.144787598985796,NA,2012-04-22,"bahrain",2012,4,873,NA
"button-d",-0.101614145227606,0,-0.091452730704845,NA,2012-04-22,"bahrain",2012,4,873,NA
"glock-d",0.177464940672762,0,0.159718446605486,NA,2012-04-22,"bahrain",2012,4,873,NA
"hamilton-d",-0.212307701663363,0,-0.191076931497027,NA,2012-04-22,"bahrain",2012,4,873,NA
"kobayashi-d",0.0631287098862161,0,0.0568158388975945,NA,2012-04-22,"bahrain",2012,4,873,NA
"perez-d",-0.0302796743625857,0,-0.0272517069263272,NA,2012-04-22,"bahrain",2012,4,873,NA
"pic-d",0.101586934974298,0,0.0914282414768678,NA,2012-04-22,"bahrain",2012,4,873,NA
"raikkonen-d",-0.111299251942472,0,-0.100169326748225,NA,2012-04-22,"bahrain",2012,4,873,NA
"resta-d",-0.0241031003555643,0,-0.0216927903200079,NA,2012-04-22,"bahrain",2012,4,873,NA
"ricciardo-d",0.171444390607303,0,0.154299951546573,NA,2012-04-22,"bahrain",2012,4,873,NA
"rosberg-d",-0.133051275113816,0,-0.119746147602435,NA,2012-04-22,"bahrain",2012,4,873,NA
"vergne-d",0.12598729359805,0,0.113388564238245,NA,2012-04-22,"bahrain",2012,4,873,NA
"vettel-d",-0.19244583957872,0,-0.173201255620848,NA,2012-04-22,"bahrain",2012,4,873,NA
"webber-d",-0.240704196557373,0,-0.216633776901636,NA,2012-04-22,"bahrain",2012,4,873,NA
"bruno_senna-d",-0.0679492553313699,0,-0.0611543297982329,NA,2012-04-22,"bahrain",2012,4,873,NA
"hulkenberg-d",0.120618441832985,0,0.108556597649687,NA,2012-04-22,"bahrain",2012,4,873,NA
"karthikeyan-d",0.0814816936557618,0,0.0733335242901856,NA,2012-04-22,"bahrain",2012,4,873,NA
"kovalainen-d",0.133444471588047,0,0.120100024429242,NA,2012-04-22,"bahrain",2012,4,873,NA
"massa-d",0.122269612379938,0,0.110042651141944,NA,2012-04-22,"bahrain",2012,4,873,NA
