"","entity_id","rapm","model_date","season","round","overall_round","circuit","dev_ratio","rapm_loess","rapm_blended","rapm_error","span_value","weight_value"
"73","toro_rosso-c",0.212435374218833,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0.207124489863362,0.0809019285367265,0.3,0.3
"74","aston_martin-c",0.12231627168359,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0.119258364891501,0.0650930434289262,0.3,0.3
"75","mercedes-c",0.13376262679477,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0.130418561124901,0.0998690160341075,0.3,0.3
"76","manor-c",0.147331899140414,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0.143648601661904,0.0950489664008043,0.3,0.3
"77","williams-c",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.3,0.3
"78","caterham-c",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.3,0.3
"79","hrt-c",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.3,0.3
"80","haas-c",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.3,0.3
"81","button-d",-0.0640076181194718,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,-0.0608072372134982,0.143436692875311,0.5,0.7
"82","vettel-d",-0.0809114842607786,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,-0.0768659100477397,0.11641333581432,0.5,0.7
"83","hamilton-d",-0.336109090496956,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,-0.319303635972108,0.118435909462354,0.5,0.7
"84","webber-d",-0.266605063490549,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,-0.253274810316022,0.109715042586412,0.5,0.7
"85","alonso-d",-0.357738547186172,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,-0.339851619826863,0.130189852300851,0.5,0.7
"86","kobayashi-d",-0.0628204128189008,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,-0.0596793921779558,0.0471043469764414,0.5,0.7
"87","raikkonen-d",-0.138000072504096,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,-0.131100068878891,0.0657242040443091,0.5,0.7
"88","perez-d",-0.207179357751135,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,-0.196820389863579,0.117399762392351,0.5,0.7
"89","ricciardo-d",0.151005264681824,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0.143455001447732,0.0675267474250334,0.5,0.7
"90","resta-d",0.0290255321346591,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0.0275742555279261,0.0525272773217167,0.5,0.7
"91","vergne-d",0.0747197391151871,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0.0709837521594278,0.0470844569231601,0.5,0.7
"92","rosberg-d",0.230478918055502,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0.218954972152727,0.0889758408166382,0.5,0.7
"93","glock-d",0.228187269800778,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0.216777906310739,0.088951094733948,0.5,0.7
"94","pic-d",0.150112775918461,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0.142607137122538,0.0764276992803758,0.5,0.7
"95","bruno_senna-d",-0.0752050688546805,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,-0.0714448154119465,0.0496011569455255,0.5,0.7
"96","hulkenberg-d",0.0375507108020713,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0.0356731752619678,0.0374610781400187,0.5,0.7
"97","michael_schumacher-d",0.0678575293560086,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0.0644646528882082,0.0438138978373004,0.5,0.7
"98","massa-d",0.177454296413186,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0.168581581592527,0.103575803537857,0.5,0.7
"99","petrov-d",0.166618723837666,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0.158287787645782,0.104814794885888,0.5,0.7
"100","kovalainen-d",0.150854596715343,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0.143311866879576,0.0913072778660649,0.5,0.7
"101","karthikeyan-d",0.0809567648082678,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0.0769089265678544,0.0532401236585864,0.5,0.7
"102","rosa-d",0.0437551315724441,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0.0415673749938219,0.0337511027672598,0.5,0.7
"103","grosjean-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"104","maldonado-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"105","ambrosio-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"106","sutil-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"107","gutierrez-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"108","bottas-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"109","jules_bianchi-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"110","chilton-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"111","garde-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"112","kevin_magnussen-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"113","kvyat-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"114","ericsson-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"115","stevens-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"116","nasr-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"117","sainz-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"118","max_verstappen-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"119","merhi-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"120","rossi-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"121","jolyon_palmer-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"122","wehrlein-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"123","vandoorne-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"124","haryanto-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"125","ocon-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"126","giovinazzi-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"127","stroll-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"128","gasly-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"129","brendon_hartley-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"130","leclerc-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"131","sirotkin-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"132","norris-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"133","albon-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"134","russell-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"135","kubica-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"136","latifi-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"137","aitken-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"138","pietro_fittipaldi-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"139","tsunoda-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"140","mick_schumacher-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"141","mazepin-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"142","zhou-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"143","de_vries-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"144","sargeant-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"145","piastri-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"146","lawson-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"147","bearman-d",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.5,0.7
"148","mclaren-c",-0.400121435858672,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,-0.380115364065738,0.148204543364344,0.3,0.3
"149","red_bull-c",-0.347519627635965,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,-0.330143646254167,0.149830269916087,0.3,0.3
"150","ferrari-c",-0.18028458124985,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,-0.171270352187358,0.146962922832988,0.3,0.3
"151","sauber-c",-0.269999479517839,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,-0.256499505541947,0.130104937402163,0.3,0.3
"152","alpine-c",-0.137999571087025,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,-0.131099592532674,0.0657242380581956,0.3,0.3
"153","toro_rosso-c",0.225726455502544,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0.214440132727417,0.0655504860739926,0.3,0.3
"154","aston_martin-c",0.0665776606819275,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0.0632487776478311,0.0685545822234651,0.3,0.3
"155","mercedes-c",0.298337580963745,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0.283420701915558,0.0976004901864955,0.3,0.3
"156","manor-c",0.378300574929161,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0.359385546182703,0.117341018431237,0.3,0.3
"157","williams-c",-0.0752046244643226,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,-0.0714443932411065,0.049601066818628,0.3,0.3
"158","caterham-c",0.317473696968665,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0.301600012120232,0.130173925730978,0.3,0.3
"159","hrt-c",0.124711988382265,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0.118476388963152,0.0623879569134796,0.3,0.3
"160","haas-c",0,2012-03-25,2012,2,860,"sepang",0.127840124518804,0,0,0,0.3,0.3
"161","button-d",-0.166491799721291,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,-0.154004914742194,0.124461975964676,0.5,0.7
"162","vettel-d",-0.120137261882639,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,-0.111126967241441,0.101149930935637,0.5,0.7
"163","hamilton-d",-0.280369248991412,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,-0.259341555317056,0.109667240500618,0.5,0.7
"164","webber-d",-0.230410570664686,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,-0.213129777864835,0.0842834060225266,0.5,0.7
"165","alonso-d",-0.186662478111397,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,-0.172662792253042,0.118296212407614,0.5,0.7
"166","kobayashi-d",-0.0105134461494951,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,-0.00972493768828296,0.0503224638975972,0.5,0.7
"167","raikkonen-d",-0.0100483996889289,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,-0.00929476971225927,0.0905588741182697,0.5,0.7
"168","perez-d",-0.0783760812899109,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,-0.0724978751931676,0.105616790572891,0.5,0.7
"169","ricciardo-d",0.138066151618114,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0.127711190246756,0.0860083439734771,0.5,0.7
"170","resta-d",0.0493861458329328,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0.0456821848954628,0.0480923231086561,0.5,0.7
"171","vergne-d",0.1011502599359,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0.0935639904407078,0.062100826271605,0.5,0.7
"172","rosberg-d",-0.0457195964185391,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,-0.0422906266871487,0.127940098559473,0.5,0.7
"173","glock-d",0.176809472444217,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0.163548762010901,0.101720417362499,0.5,0.7
"174","pic-d",0.133940613887555,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0.123895067845989,0.0624358337403634,0.5,0.7
"175","bruno_senna-d",-0.0745059482201613,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,-0.0689180021036492,0.0489185220159489,0.5,0.7
"176","hulkenberg-d",0.0893062082529703,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0.0826082426339976,0.0698830900267507,0.5,0.7
"177","michael_schumacher-d",0.0286225712450465,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0.0264758784016681,0.0202692819508204,0.5,0.7
"178","massa-d",0.148419694923218,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0.137288217803977,0.0898850303528629,0.5,0.7
"179","petrov-d",0.155892919854447,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0.144200950865364,0.0912465451664905,0.5,0.7
"180","kovalainen-d",0.0896962645383102,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0.082969044697937,0.0600409219413407,0.5,0.7
"181","karthikeyan-d",0.0764390828373304,2012-04-15,2012,3,861,"shanghai",0.0917284895950399,0,0.0707061516245306,0.0445469271893063,0.5,0.7
